item_id,subsystem,item,qty,unit,material_spec,make_buy,drawing_ref,supplier,estimated_cost,notes
SHK-BOM-001,Body,Hardwood blank 1in x 1in x 24in,3,blanks,"Quarter-sawn, kiln-dried; cherry primary, hard maple + black walnut backups",Buy,drawings/SHK-D4-P1-blank.svg,Bell Forest Products,28.00 USD,"Three blanks: one for SHK-D4-P1 + two for utaguchi/bore practice runs."
SHK-BOM-002,Body,Optional inlay block,1,piece,"Buffalo horn 0.5in x 0.787in x 0.060in OR lignum vitae alternative",Buy,drawings/SHK-D4-P1-utaguchi.svg,Roy's Woodturning Tools,12.00 USD,"Mortised flush at utaguchi top edge. Skip for first prototype if schedule pressed."
SHK-BOM-003,Tooling,3/8 in pilot brad-point bit,1,bit,"6+ in OAL, MT2 Jacobs-chuck-mounted",Buy,assembly-manual.md,Lee Valley,16.00 USD,Pilot pass for headstock-driven deep-bore drilling.
SHK-BOM-004,Tooling,Step-up drill set 1/2 in / 5/8 in / 3/4 in long-shank,1,set,"6-8 in OAL each; spade or aircraft-extension",Buy,assembly-manual.md,Grizzly,42.00 USD,Step bores in 4 mm diameter increments to limit wander.
SHK-BOM-005,Tooling,Final-bore reamer 0.787 in (20 mm),1,reamer,"Straight-flute reamer, 24 in OAL",Buy,assembly-manual.md,Travers Tool,68.00 USD,Or substitute step-down endmill in collet chuck.
SHK-BOM-006,Tooling,Tailstock vise / square-stock carrier,1,fixture,"Custom: 6 in jaw with V-block + side clamps; aligned to MT2 spindle axis",Make,drawings/SHK-fixture-vise.svg,—,35.00 USD,"Build from steel angle + threaded rod. See instrument-maker#84."
SHK-BOM-007,Tooling,Tone-hole drill jig,1,fixture,"Drill-press jig: V-cradle + index pin + indexed sliding stop",Make,drawings/SHK-fixture-hole-jig.svg,—,15.00 USD,Indexes off the bore axis. Allows re-drilling at consistent radial angle.
SHK-BOM-008,Tooling,Diamond hand files (round + flat) 1/2 round 6 in,1,set,"Fine grit 600+; for bisque-style hole tuning",Buy,validation.csv,Lee Valley,22.00 USD,"Open holes in 0.5 mm steps; use round file for hole, flat for utaguchi bevel touch-up."
SHK-BOM-009,Tooling,32-deg utaguchi gauge,1,gauge,"Aluminum or printed; references angle off bore axis",Make,drawings/SHK-D4-P1-utaguchi.svg,—,4.00 USD,Print + glue to acrylic.
SHK-BOM-010,Validation,Chromatic tuner with cents readout,1,unit,"Korg OT-120 or equivalent; resolution >= 1 cent",Buy,validation.csv,Sweetwater,89.00 USD,Already in shop; line item documents the validation tooling.
SHK-BOM-011,Validation,Bore-gauge / pin-gauge set,1,set,"0.500 in to 0.875 in by 0.001 in; or three-point internal mic",Use,validation.csv,—,0.00 USD,Existing shop tooling.
SHK-BOM-012,Validation,Thermometer / hygrometer,1,unit,"+/- 0.5 deg F, +/- 2 percent RH",Use,validation.csv,—,0.00 USD,Existing shop tooling. Critical because shakuhachi pitch shifts ~3 cents/deg C.
SHK-BOM-013,Finish,Walnut oil (food-safe),1,8 oz bottle,"Tried & True or Mahoney's; raw walnut, unboiled",Buy,assembly-manual.md,Tried & True,14.00 USD,Flooded inside the bore + outside; cures 3-5 days.
SHK-BOM-014,Finish,Carnauba wax,1,4 oz tin,"Pure carnauba flakes or paste; outside-only application",Buy,assembly-manual.md,Constantine's,11.00 USD,Outside finish only; do not put wax inside the bore (changes acoustic damping).
SHK-BOM-015,Documentation,A4 paper wrap template,1,sheet,"Printed hole-position template, lengthwise; CMYK black-on-white",Make,drawings/SHK-D4-P1-hole-layout.svg,—,0.50 USD,Printed at 100% scale; wraps the cylindrical body.
SHK-BOM-016,Optional,Buffalo-horn mortising chisel set,1,set,"3 mm + 6 mm + 12 mm bench chisels; for utaguchi inlay seat",Buy,drawings/SHK-D4-P1-utaguchi.svg,Hida Tool,68.00 USD,"Skip if SHK-BOM-002 inlay is omitted on first prototype."
