item_id,supplier,product,required_spec,search_terms,unit_price_usd,lead_time_days,sku_or_url,verified_on,notes
SHK-SRC-001,Bell Forest Products,Cherry turning blanks,"1 in x 1 in x 24 in; quarter-sawn; kiln-dried < 8% MC",cherry turning blank 24 inch quartersawn,9.50,5,bellforestproducts.com/cherry-turning-blanks,TBD,"Buy 3 to allow practice bores. Quarter-sawn flutters less under deep drilling than flat-sawn."
SHK-SRC-002,Bell Forest Products,Hard maple turning blanks,"1 in x 1 in x 24 in; quarter-sawn",hard maple turning blank 24 inch quartersawn,8.75,5,bellforestproducts.com/hard-maple,TBD,Backup wood for SHK-D4-P2 if cherry tears out at hole walls.
SHK-SRC-003,Bell Forest Products,Black walnut turning blanks,"1 in x 1 in x 24 in",black walnut turning blank 24 inch,10.20,5,bellforestproducts.com/black-walnut,TBD,Lower density alternative — softer voice expected.
SHK-SRC-004,Roy's Woodturning Tools,Buffalo horn block,"0.5 in x 1 in x 1 in solid block",buffalo horn turning block luthier,11.00,7,royswoodturning.com,TBD,For utaguchi inlay if pursued. Verify CITES status (water buffalo not listed).
SHK-SRC-005,Lee Valley,Brad-point drill long-shank 3/8 in,"6 in flute length, 1/2 in shank",brad point bit long shank 3/8 inch,15.95,3,leevalley.com/05M2110,TBD,Pilot bore for deep-drilling sequence.
SHK-SRC-006,Grizzly Industrial,Aircraft-extension drill set 1/2-3/4 in,"6 in flute lengths; HSS",aircraft extension drill set hss long,42.00,5,grizzly.com/products/aircraft-extension-drill-bit-set,TBD,Used for stepping up the bore in 4 mm increments.
SHK-SRC-007,Travers Tool,Reamer 20 mm straight-flute,"24 in OAL; HSS; H7 tolerance",reamer 20mm straight flute extra long,68.50,10,travers.com/reamer-20mm-long,TBD,"Final-pass to 0.787 in. Verify ID before ordering — H7 0.787 +0.000 / +0.0008 in."
SHK-SRC-008,Lee Valley,Diamond hand files 6 in 600 grit,"Round + flat profile pair",diamond file luthier 600 grit fine,21.95,3,leevalley.com/diamond-hand-files,TBD,Bisque-style hole tuning.
SHK-SRC-009,Sweetwater,Korg OT-120 chromatic tuner,"+/- 1 cent resolution; condenser-mic input",korg ot 120 chromatic tuner orchestral,89.00,2,sweetwater.com/store/detail/OT120,TBD,Already in Tony's shop; entry documents validation tooling.
SHK-SRC-010,Tried & True,Original walnut oil 8 oz,"Raw walnut oil, no metallic dryers; food-safe",tried true original walnut oil 8oz,13.95,4,triedandtruewoodfinish.com,TBD,Inside bore + outside finish.
SHK-SRC-011,Constantine's,Carnauba wax tin 4 oz,"Pure carnauba paste; outside-only",constantines pure carnauba wax,10.95,4,constantines.com,TBD,Outside finish — do not apply inside the bore.
SHK-SRC-012,Hida Tool,Japanese mortising chisels 3-6-12 mm,"For utaguchi inlay seat (optional)",hida tool japanese mortising chisel set,68.00,7,hidatool.com,TBD,"Skip if first prototype omits inlay."
SHK-SRC-013,McMaster-Carr,Steel angle 1.5 in x 1.5 in x 1/8 in,"Cold-rolled, 12 in length",steel angle 1.5 inch cold rolled 12 inch,7.40,2,mcmaster.com/8910K156,TBD,Stock for the tailstock vise / square-stock carrier fixture.
SHK-SRC-014,McMaster-Carr,Threaded rod 3/8-16 + nuts,"6 in length pair; zinc-plated",mcmaster 3/8-16 threaded rod 6 inch,3.80,2,mcmaster.com/98031A015,TBD,Vise clamping screws.
